id,title,description,availability,condition,price,link,image_link,brand
FIRME-39-JUEGO,"Juego Firme 39"" Individual","Juego completo (colchón + base). Soporte firme, 3 años de garantía.",in stock,new,13500 DOP,https://alexandracruz.github.io/catalogo-colchones/productos/firme-39-juego.html,https://alexandracruz.github.io/catalogo-colchones/images/firme-39-juego.jpg,Godfrey
FIRME-39-SOLO,"Colchón Firme 39"" Individual","Colchón solo. Soporte firme y duradero, 3 años de garantía.",in stock,new,9000 DOP,https://alexandracruz.github.io/catalogo-colchones/productos/firme-39-solo.html,https://alexandracruz.github.io/catalogo-colchones/images/firme-39-solo.jpg,Godfrey
FIRME-39-BASE,"Base 39"" Individual",Base de madera reforzada para colchón de 39 pulgadas.,in stock,new,5500 DOP,https://alexandracruz.github.io/catalogo-colchones/productos/firme-39-base.html,https://alexandracruz.github.io/catalogo-colchones/images/firme-39-base.jpg,Godfrey
FIRME-54-JUEGO,"Juego Firme 54"" Matrimonial","Juego completo (colchón + base). Soporte firme, 3 años de garantía.",in stock,new,16000 DOP,https://alexandracruz.github.io/catalogo-colchones/productos/firme-54-juego.html,https://alexandracruz.github.io/catalogo-colchones/images/firme-54-juego.jpg,Godfrey
FIRME-54-SOLO,"Colchón Firme 54"" Matrimonial","Colchón solo. Soporte firme y duradero, 3 años de garantía.",in stock,new,11500 DOP,https://alexandracruz.github.io/catalogo-colchones/productos/firme-54-solo.html,https://alexandracruz.github.io/catalogo-colchones/images/firme-54-solo.jpg,Godfrey
FIRME-54-BASE,"Base 54"" Matrimonial",Base de madera reforzada para colchón de 54 pulgadas.,in stock,new,5500 DOP,https://alexandracruz.github.io/catalogo-colchones/productos/firme-54-base.html,https://alexandracruz.github.io/catalogo-colchones/images/firme-54-base.jpg,Godfrey
FIRME-60-JUEGO,"Juego Firme 60"" Queen","Juego completo (colchón + base). Soporte firme, 3 años de garantía.",in stock,new,19000 DOP,https://alexandracruz.github.io/catalogo-colchones/productos/firme-60-juego.html,https://alexandracruz.github.io/catalogo-colchones/images/firme-60-juego.jpg,Godfrey
FIRME-60-SOLO,"Colchón Firme 60"" Queen","Colchón solo. Soporte firme y duradero, 3 años de garantía.",in stock,new,14500 DOP,https://alexandracruz.github.io/catalogo-colchones/productos/firme-60-solo.html,https://alexandracruz.github.io/catalogo-colchones/images/firme-60-solo.jpg,Godfrey
FIRME-60-BASE,"Base 60"" Queen",Base de madera reforzada para colchón de 60 pulgadas.,in stock,new,5500 DOP,https://alexandracruz.github.io/catalogo-colchones/productos/firme-60-base.html,https://alexandracruz.github.io/catalogo-colchones/images/firme-60-base.jpg,Godfrey
PILLOW-39-JUEGO-DC,"Juego Pillowtop 39"" Doble Cara","Juego colchón doble cara + base. Capa acolchada adicional, 5 años garantía.",in stock,new,17500 DOP,https://alexandracruz.github.io/catalogo-colchones/productos/pillow-39-juego-dc.html,https://alexandracruz.github.io/catalogo-colchones/images/pillow-39-juego-dc.jpg,Godfrey
PILLOW-39-JUEGO-NF,"Juego Pillowtop 39"" No Flip","Juego colchón una cara + base. Capa acolchada adicional, 5 años garantía.",in stock,new,15000 DOP,https://alexandracruz.github.io/catalogo-colchones/productos/pillow-39-juego-nf.html,https://alexandracruz.github.io/catalogo-colchones/images/pillow-39-juego-nf.jpg,Godfrey
PILLOW-54-JUEGO-DC,"Juego Pillowtop 54"" Doble Cara","Juego colchón doble cara + base. Confort y suavidad, 5 años garantía.",in stock,new,20000 DOP,https://alexandracruz.github.io/catalogo-colchones/productos/pillow-54-juego-dc.html,https://alexandracruz.github.io/catalogo-colchones/images/pillow-54-juego-dc.jpg,Godfrey
PILLOW-60-JUEGO-DC,"Juego Pillowtop 60"" Doble Cara",Juego colchón doble cara + base. La mejor relación suavidad/soporte.,in stock,new,22000 DOP,https://alexandracruz.github.io/catalogo-colchones/productos/pillow-60-juego-dc.html,https://alexandracruz.github.io/catalogo-colchones/images/pillow-60-juego-dc.jpg,Godfrey
SPILLOW-60-JUEGO,"Juego SuperPillowtop 60"" Queen",Juego completo. Nuestro acolchado más alto para máximo confort.,in stock,new,24500 DOP,https://alexandracruz.github.io/catalogo-colchones/productos/spillow-60-juego.html,https://alexandracruz.github.io/catalogo-colchones/images/spillow-60-juego.jpg,Godfrey
KING-PILLOW-JUEGO,Juego King Pillowtop Doble Cara,El tamaño más grande (76x80). Máximo lujo y espacio.,in stock,new,49500 DOP,https://alexandracruz.github.io/catalogo-colchones/productos/king-pillow-juego.html,https://alexandracruz.github.io/catalogo-colchones/images/king-pillow-juego.jpg,Godfrey
PILLOW-39-SOLO-DC,"Colchón 39"" Pillowtop Doble Cara","Colchón solo, confort superior, 5 años de garantía.",in stock,new,13000 DOP,https://alexandracruz.github.io/catalogo-colchones/productos/pillow-39-solo-dc.html,https://alexandracruz.github.io/catalogo-colchones/images/pillow-39-solo-dc.jpg,Godfrey
PILLOW-39-SOLO-NF,"Colchón 39"" Pillowtop No Flip","Colchón solo una cara, tecnología moderna, 5 años garantía.",in stock,new,10500 DOP,https://alexandracruz.github.io/catalogo-colchones/productos/pillow-39-solo-nf.html,https://alexandracruz.github.io/catalogo-colchones/images/pillow-39-solo-nf.jpg,Godfrey
PILLOW-54-JUEGO-NF,"Juego 54"" Pillowtop No Flip","Juego completo, colchón una cara + base, 5 años garantía.",in stock,new,17500 DOP,https://alexandracruz.github.io/catalogo-colchones/productos/pillow-54-juego-nf.html,https://alexandracruz.github.io/catalogo-colchones/images/pillow-54-juego-nf.jpg,Godfrey
PILLOW-54-SOLO-DC,"Colchón 54"" Pillowtop Doble Cara","Colchón solo matrimonial, máximo confort, 5 años garantía.",in stock,new,15500 DOP,https://alexandracruz.github.io/catalogo-colchones/productos/pillow-54-solo-dc.html,https://alexandracruz.github.io/catalogo-colchones/images/pillow-54-solo-dc.jpg,Godfrey
PILLOW-54-SOLO-NF,"Colchón 54"" Pillowtop No Flip","Colchón solo matrimonial una cara, 5 años garantía.",in stock,new,13000 DOP,https://alexandracruz.github.io/catalogo-colchones/productos/pillow-54-solo-nf.html,https://alexandracruz.github.io/catalogo-colchones/images/pillow-54-solo-nf.jpg,Godfrey
PILLOW-60-JUEGO-NF,"Juego 60"" Pillowtop No Flip","Juego completo Queen, una cara + base, 5 años garantía.",in stock,new,21000 DOP,https://alexandracruz.github.io/catalogo-colchones/productos/pillow-60-juego-nf.html,https://alexandracruz.github.io/catalogo-colchones/images/pillow-60-juego-nf.jpg,Godfrey
PILLOW-60-SOLO-DC,"Colchón 60"" Pillowtop Doble Cara","Colchón solo Queen, suavidad superior, 5 años garantía.",in stock,new,17000 DOP,https://alexandracruz.github.io/catalogo-colchones/productos/pillow-60-solo-dc.html,https://alexandracruz.github.io/catalogo-colchones/images/pillow-60-solo-dc.jpg,Godfrey
PILLOW-60-SOLO-NF,"Colchón 60"" Pillowtop No Flip","Colchón solo Queen una cara, 5 años garantía.",in stock,new,16000 DOP,https://alexandracruz.github.io/catalogo-colchones/productos/pillow-60-solo-nf.html,https://alexandracruz.github.io/catalogo-colchones/images/pillow-60-solo-nf.jpg,Godfrey
SPILLOW-54-JUEGO,"Juego 54"" Super Pillowtop","El acolchado más alto, juego completo, confort premium.",in stock,new,22500 DOP,https://alexandracruz.github.io/catalogo-colchones/productos/spillow-54-juego.html,https://alexandracruz.github.io/catalogo-colchones/images/spillow-54-juego.jpg,Godfrey
SPILLOW-54-SOLO,"Colchón 54"" Super Pillowtop","Colchón solo matrimonial, lujo y descanso profundo.",in stock,new,18000 DOP,https://alexandracruz.github.io/catalogo-colchones/productos/spillow-54-solo.html,https://alexandracruz.github.io/catalogo-colchones/images/spillow-54-solo.jpg,Godfrey
SPILLOW-54-BASE,"Base 54"" Reforzada","Base sola para colchón matrimonial, madera de calidad.",in stock,new,6500 DOP,https://alexandracruz.github.io/catalogo-colchones/productos/spillow-54-base.html,https://alexandracruz.github.io/catalogo-colchones/images/spillow-54-base.jpg,Godfrey
SPILLOW-60-SOLO,"Colchón 60"" Super Pillowtop","Colchón solo Queen, nuestro nivel máximo de acolchado.",in stock,new,20000 DOP,https://alexandracruz.github.io/catalogo-colchones/productos/spillow-60-solo.html,https://alexandracruz.github.io/catalogo-colchones/images/spillow-60-solo.jpg,Godfrey
SPILLOW-60-BASE,"Base 60"" Reforzada","Base sola Queen, estructura reforzada Godfrey.",in stock,new,6500 DOP,https://alexandracruz.github.io/catalogo-colchones/productos/spillow-60-base.html,https://alexandracruz.github.io/catalogo-colchones/images/spillow-60-base.jpg,Godfrey
KING-FIRME-JUEGO,Juego King Firme,"Juego completo King Size, soporte firme para 3 plazas.",in stock,new,42500 DOP,https://alexandracruz.github.io/catalogo-colchones/productos/king-firme-juego.html,https://alexandracruz.github.io/catalogo-colchones/images/king-firme-juego.jpg,Godfrey
KING-PILLOW-SOLO,Colchón King Pillowtop,"Colchón solo King Size, lujo y espacio máximo.",in stock,new,42000 DOP,https://alexandracruz.github.io/catalogo-colchones/productos/king-pillow-solo.html,https://alexandracruz.github.io/catalogo-colchones/images/king-pillow-solo.jpg,Godfrey
KING-FIRME-SOLO,Colchón King Firme,"Colchón solo King Size, soporte firme de alta resistencia.",in stock,new,35000 DOP,https://alexandracruz.github.io/catalogo-colchones/productos/king-firme-solo.html,https://alexandracruz.github.io/catalogo-colchones/images/king-firme-solo.jpg,Godfrey
KING-BASES,Bases King (Par),Dos bases reforzadas para colchón King Size.,in stock,new,9000 DOP,https://alexandracruz.github.io/catalogo-colchones/productos/king-bases.html,https://alexandracruz.github.io/catalogo-colchones/images/king-bases.jpg,Godfrey
